network,n_nodes,out_degree,weight_regime,mc_model,mc_slope,mc_decay_rate,mc_p_slope,mc_p_slope_fmt,mc_r_squared,mc_mean_p,mc_mean_cohens_d,kr_model,kr_slope,kr_decay_rate,kr_p_slope,kr_p_slope_fmt,kr_r_squared,kr_mean_p,kr_mean_cohens_d
HM,128,10,adjusted_broad,exponential,-2.0718,-2.0718,0.0026,<0.01,0.9722,0.2018,-0.0653,exponential,-3.0655,-3.0655,0.0002,<0.001,0.9782,0.3852,-0.1849
HM,256,6,binary,linear,-2.3680,,0.0000,<0.0001,0.9775,0.0000,-0.4396,linear,-0.7109,,0.0005,<0.001,0.7617,0.0000,3.6583
HM,256,6,random_narrow,linear,-2.4936,,0.0000,<0.0001,0.9841,0.0000,-0.4867,linear,-0.8218,,0.0000,<0.0001,0.9534,0.0000,1.9365
HM,256,6,random_broad,linear,-5.5362,,0.0000,<0.0001,0.9256,0.2883,-0.2139,linear,-6.5636,,0.0001,<0.0001,0.8379,0.1171,-0.5233
HM,256,6,adjusted_narrow,linear,-2.5431,,0.0000,<0.0001,0.9353,0.0053,-0.5745,linear,-0.8255,,0.0001,<0.0001,0.8469,0.0000,1.7117
HM,256,6,adjusted_broad,exponential,-7.1647,-7.1647,0.0004,<0.001,0.9588,0.2617,-0.0350,exponential,-10.1817,-10.1817,0.0001,<0.0001,0.9763,0.4152,-0.1027
HM,256,10,binary,linear,-1.5547,,0.0000,<0.0001,0.9497,0.0152,1.0938,linear,0.0782,,0.3366,0.337,0.1027,0.0000,5.2797
HM,256,10,random_narrow,linear,-1.3820,,0.0000,<0.0001,0.9699,0.0000,1.6540,linear,0.1655,,0.2371,0.237,0.1513,0.0000,3.7809
HM,256,10,random_broad,linear,-4.4758,,0.0000,<0.0001,0.9681,0.0191,-0.2551,linear,-4.2036,,0.0000,<0.0001,0.9362,0.1393,-0.4139
HM,256,10,adjusted_narrow,linear,-1.3899,,0.0001,<0.0001,0.8385,0.1901,1.2502,linear,0.1800,,0.1453,0.145,0.2202,0.0000,4.0803
HM,256,10,adjusted_broad,exponential,-3.5484,-3.5484,0.0086,<0.01,0.9185,0.3416,-0.0277,exponential,-5.8029,-5.8029,0.0024,<0.01,0.9291,0.3920,-0.1049
HM,512,6,binary,linear,-3.1283,,0.0000,<0.0001,0.9868,0.0000,-1.5616,linear,-0.7600,,0.0000,<0.0001,0.9131,0.0000,3.8481
HM,512,6,random_narrow,linear,-3.3124,,0.0000,<0.0001,0.9872,0.0000,-1.4824,linear,-0.8218,,0.0000,<0.0001,0.8818,0.0011,1.8985
HM,512,6,random_broad,linear,-6.7741,,0.0001,<0.0001,0.8433,0.2192,-0.2030,linear,-9.2000,,0.0014,<0.01,0.6971,0.2977,-0.4462
HM,512,6,adjusted_narrow,linear,-3.5014,,0.0000,<0.0001,0.9623,0.0000,-1.3235,linear,-0.7891,,0.0003,<0.001,0.7755,0.0046,1.5402
HM,512,6,adjusted_broad,exponential,-10.5738,-10.5738,0.0003,<0.001,0.9644,0.2514,-0.1366,exponential,-15.1011,-15.1011,0.0001,<0.0001,0.9829,0.4344,-0.0915
HM,512,10,binary,linear,-1.8073,,0.0000,<0.0001,0.9412,0.0001,-1.3037,linear,1.1564,,0.0016,<0.01,0.6868,0.0000,5.9607
HM,512,10,random_narrow,linear,-1.7978,,0.0000,<0.0001,0.9635,0.0000,-0.7295,linear,0.3055,,0.1487,0.149,0.2170,0.0000,2.7502
HM,512,10,random_broad,linear,-6.3572,,0.0000,<0.0001,0.9551,0.1338,-0.1873,linear,-7.2473,,0.0000,<0.0001,0.8862,0.4275,-0.2625
HM,512,10,adjusted_narrow,linear,-1.8395,,0.0000,<0.0001,0.8726,0.0008,-0.8954,linear,0.2218,,0.0714,0.071,0.3170,0.0024,2.7387
HM,512,10,adjusted_broad,exponential,-6.8021,-6.8021,0.0020,<0.01,0.9317,0.0900,0.0446,exponential,-11.4107,-11.4107,0.0002,<0.001,0.9715,0.6328,0.0584
HM,1024,6,binary,linear,-4.5040,,0.0000,<0.0001,0.9939,0.0000,-1.6565,linear,0.3697,,0.3213,0.321,0.1091,0.0000,4.4149
HM,1024,6,random_narrow,linear,-5.0972,,0.0000,<0.0001,0.9907,0.0065,-0.6666,linear,-0.3091,,0.2995,0.300,0.1187,0.0000,4.2504
HM,1024,6,random_broad,linear,-6.0630,,0.0001,<0.0001,0.8385,0.0933,-0.0436,linear,-12.4515,,0.0022,<0.01,0.6650,0.3683,-0.3003
HM,1024,6,adjusted_narrow,linear,-5.1635,,0.0000,<0.0001,0.9742,0.0062,-1.0405,linear,-0.4424,,0.0574,0.057,0.3450,0.0000,3.7184
