network,n_nodes,out_degree,weight_regime,reciprocity,mc_struct_mean,mc_struct_std,mc_null_random_mean,mc_null_random_std,mc_p_value,mc_cohens_d,mc_p_fmt,kr_struct_mean,kr_struct_std,kr_null_random_mean,kr_null_random_std,kr_p_value,kr_cohens_d,kr_p_fmt
SW,64,6,adjusted_broad,0.7000,9.6256,1.7026,9.8175,1.6327,0.0925,-0.1167,0.093,6.4200,1.2975,6.5440,0.4700,0.5308,-0.1271,0.531
SW,64,6,adjusted_broad,0.8000,9.7922,1.4366,9.7246,1.5612,0.5271,0.0439,0.527,6.5000,0.9849,6.4800,0.4271,0.8965,0.0263,0.897
SW,64,6,adjusted_broad,0.9000,9.1744,1.6538,9.3955,1.5461,0.0418,-0.1413,<0.05,6.0800,1.0741,6.1280,0.5040,0.7776,-0.0572,0.778
SW,64,6,adjusted_broad,1.0000,8.1734,1.8050,8.5355,1.7087,0.0025,-0.2099,<0.01,5.4400,1.0984,5.6680,0.4571,0.1829,-0.2710,0.183
SW,64,10,binary,0.0000,9.0312,0.2064,9.0480,0.2082,0.2420,-0.0812,0.242,4.9600,0.1960,4.9760,0.0650,0.5887,-0.1096,0.589
SW,64,10,binary,0.1000,9.0280,0.2087,9.0112,0.2036,0.2355,0.0823,0.235,5.0000,0.0000,4.9840,0.0674,0.1030,0.2374,0.103
SW,64,10,binary,0.2000,8.9815,0.2208,8.9708,0.2057,0.4597,0.0513,0.460,5.0000,0.0000,4.9600,0.0800,0.0010,0.5000,<0.01
SW,64,10,binary,0.3000,8.9540,0.2056,8.9220,0.2040,0.0238,0.1568,<0.05,5.0000,0.0000,4.9800,0.0600,0.0238,0.3333,<0.05
SW,64,10,binary,0.4000,8.9235,0.2072,8.8641,0.2053,0.0000,0.2891,<0.0001,4.9600,0.1960,4.9560,0.1003,0.8991,0.0257,0.899
SW,64,10,binary,0.5000,8.8748,0.2154,8.8072,0.2143,0.0000,0.3152,<0.0001,4.9600,0.1960,4.9680,0.0835,0.7932,-0.0531,0.793
SW,64,10,binary,0.6000,8.8557,0.2100,8.7740,0.2113,0.0000,0.3871,<0.0001,4.9800,0.1400,4.9640,0.0866,0.4979,0.1374,0.498
SW,64,10,binary,0.7000,8.8305,0.2175,8.6913,0.2020,0.0000,0.6797,<0.0001,4.9400,0.2375,4.9640,0.0866,0.5079,-0.1343,0.508
SW,64,10,binary,0.8000,8.7982,0.2139,8.6245,0.2035,0.0000,0.8464,<0.0001,4.9600,0.1960,4.9640,0.0768,0.8944,-0.0269,0.894
SW,64,10,binary,0.9000,8.7806,0.2207,8.5652,0.2132,0.0000,1.0045,<0.0001,4.9800,0.1400,4.9560,0.1003,0.3318,0.1971,0.332
SW,64,10,binary,1.0000,8.7371,0.2156,8.4842,0.2007,0.0000,1.2442,<0.0001,4.9800,0.1400,4.9360,0.1091,0.0858,0.3506,0.086
SW,64,10,random_narrow,0.0000,9.5686,0.2362,9.5379,0.2287,0.0540,0.1337,0.054,5.0400,0.2800,5.0320,0.1157,0.8537,0.0373,0.854
SW,64,10,random_narrow,0.1000,9.5172,0.2449,9.5098,0.2356,0.6545,0.0310,0.654,5.0400,0.1960,5.0480,0.0943,0.7973,-0.0520,0.797
SW,64,10,random_narrow,0.2000,9.4849,0.2422,9.4647,0.2319,0.2120,0.0866,0.212,5.0600,0.3105,5.0360,0.0954,0.6062,0.1045,0.606
SW,64,10,random_narrow,0.3000,9.4426,0.2369,9.4321,0.2407,0.5293,0.0436,0.529,4.9800,0.2441,5.0040,0.0937,0.5221,-0.1298,0.522
SW,64,10,random_narrow,0.4000,9.3867,0.2258,9.3480,0.2259,0.0136,0.1713,<0.05,5.0000,0.2828,5.0360,0.0954,0.4006,-0.1706,0.401
SW,64,10,random_narrow,0.5000,9.3597,0.2120,9.2872,0.2355,0.0000,0.3129,<0.0001,5.0400,0.1960,5.0000,0.0894,0.1967,0.2626,0.197
SW,64,10,random_narrow,0.6000,9.3532,0.2512,9.2546,0.2349,0.0000,0.4151,<0.0001,5.0200,0.1400,4.9880,0.0621,0.1468,0.2955,0.147
SW,64,10,random_narrow,0.7000,9.3212,0.2366,9.1809,0.2371,0.0000,0.5917,<0.0001,5.0000,0.2000,4.9920,0.0560,0.7880,0.0545,0.788
SW,64,10,random_narrow,0.8000,9.2942,0.2292,9.1293,0.2382,0.0000,0.6968,<0.0001,5.0400,0.1960,4.9720,0.0895,0.0295,0.4464,<0.05
